id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,Losser,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1,2008,Bengaluru,4/18/2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,
2,2008,Chandigarh,4/19/2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Kings XI Punjab,33,0,MEK Hussey,Punjab Cricket Association Stadium,MR Benson,SL Shastri,
3,2008,Delhi,4/19/2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,Rajasthan Royals,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,
4,2008,Mumbai,4/20/2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,Mumbai Indians,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,
5,2008,Kolkata,4/20/2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,Deccan Chargers,0,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan,
6,2008,Jaipur,4/21/2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,Kings XI Punjab,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
7,2008,Hyderabad,4/22/2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,Deccan Chargers,0,9,V Sehwag,Rajiv Gandhi International Stadium,IL Howell,AM Saheba,
8,2008,Chennai,4/23/2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,Mumbai Indians,6,0,ML Hayden,MA Chidambaram Stadium,DJ Harper,GA Pratapkumar,
9,2008,Hyderabad,4/24/2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Deccan Chargers,0,3,YK Pathan,Rajiv Gandhi International Stadium,Asad Rauf,MR Benson,
10,2008,Chandigarh,4/25/2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,Mumbai Indians,66,0,KC Sangakkara,Punjab Cricket Association Stadium,Aleem Dar,AM Saheba,
11,2008,Bengaluru,4/26/2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Royal Challengers Bangalore,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,
12,2008,Chennai,4/26/2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,Kolkata Knight Riders,0,9,JDP Oram,MA Chidambaram Stadium,BF Bowden,AV Jayaprakash,
13,2008,Mumbai,4/27/2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Mumbai Indians,0,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
14,2008,Chandigarh,4/27/2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Kings XI Punjab,Delhi Daredevils,0,4,SM Katich,Punjab Cricket Association Stadium,RE Koertzen,I Shivram,
15,2008,Bengaluru,4/28/2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Royal Challengers Bangalore,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,
16,2008,Kolkata,4/29/2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,0,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash,
17,2008,Delhi,4/30/2008,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,Royal Challengers Bangalore,10,0,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram,
18,2008,Hyderabad,05-01-2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Deccan Chargers,0,7,SE Marsh,Rajiv Gandhi International Stadium,BR Doctrove,RB Tiffin,
19,2008,Jaipur,05-01-2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Kolkata Knight Riders,45,0,SA Asnodkar,Sawai Mansingh Stadium,RE Koertzen,GA Pratapkumar,
20,2008,Chennai,05-02-2008,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,Chennai Super Kings,0,8,V Sehwag,MA Chidambaram Stadium,BF Bowden,K Hariharan,
21,2008,Chandigarh,05-03-2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kings XI Punjab,Kolkata Knight Riders,9,0,IK Pathan,Punjab Cricket Association Stadium,DJ Harper,I Shivram,
22,2008,Bengaluru,05-03-2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Royal Challengers Bangalore,Deccan Chargers,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,
23,2008,Mumbai,05-04-2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,Delhi Daredevils,29,0,SM Pollock,Dr DY Patil Sports Academy,IL Howell,RE Koertzen,
24,2008,Jaipur,05-04-2008,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,Chennai Super Kings,0,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash,
25,2008,Bengaluru,05-05-2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,6,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove,
26,2008,Chennai,05-06-2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Chennai Super Kings,0,7,AC Gilchrist,MA Chidambaram Stadium,MR Benson,RB Tiffin,
27,2008,Mumbai,05-07-2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Rajasthan Royals,0,7,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen,
28,2008,Delhi,05-08-2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,Delhi Daredevils,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin,
29,2008,Kolkata,05-08-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,5,0,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell,
30,2008,Jaipur,05-09-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Deccan Chargers,0,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba,
31,2008,Chennai,05-10-2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Chennai Super Kings,Kings XI Punjab,18,0,L Balaji,MA Chidambaram Stadium,AV Jayaprakash,BG Jerling,
32,2008,Hyderabad,05-11-2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Deccan Chargers,23,0,SC Ganguly,Rajiv Gandhi International Stadium,IL Howell,AM Saheba,
33,2008,Jaipur,05-11-2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Delhi Daredevils,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,
34,2008,Chandigarh,05-12-2008,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,9,SE Marsh,Punjab Cricket Association Stadium,BR Doctrove,I Shivram,
35,2008,Kolkata,5/13/2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Delhi Daredevils,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,
36,2008,Mumbai,5/14/2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Chennai Super Kings,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,
37,2008,Delhi,5/15/2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Daredevils,Deccan Chargers,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar,
38,2008,Mumbai,5/16/2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Kolkata Knight Riders,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper,
39,2008,Delhi,5/17/2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,1,Kings XI Punjab,Delhi Daredevils,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,
40,2008,Jaipur,5/17/2008,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,Royal Challengers Bangalore,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,
41,2008,Hyderabad,5/18/2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,Deccan Chargers,25,0,DJ Bravo,Rajiv Gandhi International Stadium,BR Doctrove,DJ Harper,
42,2008,Kolkata,5/18/2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,1,Chennai Super Kings,Kolkata Knight Riders,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,
43,2008,Bengaluru,5/19/2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,Royal Challengers Bangalore,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,
44,2008,Kolkata,5/20/2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Kolkata Knight Riders,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen,
45,2008,Mumbai,5/21/2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,Mumbai Indians,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar,
46,2008,Chennai,5/21/2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Chennai Super Kings,14,0,A Kumble,MA Chidambaram Stadium,DJ Harper,I Shivram,
47,2008,Chandigarh,5/23/2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Deccan Chargers,0,6,SE Marsh,Punjab Cricket Association Stadium,Asad Rauf,SJ Davis,
48,2008,Delhi,5/24/2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,Mumbai Indians,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan,
49,2008,Chennai,5/24/2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Chennai Super Kings,10,0,JA Morkel,MA Chidambaram Stadium,DJ Harper,SL Shastri,
50,2008,Hyderabad,5/25/2008,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,Deccan Chargers,0,5,R Vinay Kumar,Rajiv Gandhi International Stadium,Asad Rauf,RE Koertzen,
51,2008,Kolkata,5/25/2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,Kings XI Punjab,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram,
52,2008,Jaipur,5/26/2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Mumbai Indians,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan,
53,2008,Hyderabad,5/27/2008,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Chennai Super Kings,Deccan Chargers,0,7,SK Raina,Rajiv Gandhi International Stadium,BG Jerling,AM Saheba,
54,2008,Bengaluru,5/28/2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Royal Challengers Bangalore,0,9,CRD Fernando,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash,
55,2008,Chandigarh,5/28/2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,Rajasthan Royals,41,0,SE Marsh,Punjab Cricket Association Stadium,SJ Davis,K Hariharan,
56,2008,Mumbai,5/30/2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Rajasthan Royals,Delhi Daredevils,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen,
57,2008,Mumbai,5/31/2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,Kings XI Punjab,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,
58,2008,Mumbai,06-01-2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Chennai Super Kings,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen,
59,2009,Cape Town,4/18/2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,Chennai Super Kings,19,0,SR Tendulkar,Newlands,BR Doctrove,K Hariharan,
60,2009,Cape Town,4/18/2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Rajasthan Royals,75,0,R Dravid,Newlands,BR Doctrove,RB Tiffin,
61,2009,Cape Town,4/19/2009,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,1,Delhi Daredevils,Kings XI Punjab,0,10,DL Vettori,Newlands,MR Benson,SD Ranade,
62,2009,Cape Town,4/19/2009,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Deccan Chargers,Kolkata Knight Riders,0,8,RP Singh,Newlands,MR Benson,BR Doctrove,
63,2009,Port Elizabeth,4/20/2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Royal Challengers Bangalore,92,0,M Muralitharan,St George's Park,BG Jerling,SJA Taufel,
64,2009,Durban,4/21/2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,Kings XI Punjab,11,0,CH Gayle,Kingsmead,DJ Harper,SD Ranade,
65,2009,Cape Town,4/22/2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Deccan Chargers,Royal Challengers Bangalore,24,0,AC Gilchrist,Newlands,M Erasmus,AM Saheba,
66,2009,Durban,4/23/2009,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,Delhi Daredevils,Chennai Super Kings,9,0,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel,
67,2009,Cape Town,4/23/2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,Rajasthan Royals,Kolkata Knight Riders,0,0,YK Pathan,Newlands,MR Benson,M Erasmus,
68,2009,Durban,4/24/2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,
69,2009,Durban,4/25/2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,Mumbai Indians,12,0,PP Ojha,Kingsmead,HDPK Dharmasena,SJA Taufel,
70,2009,Port Elizabeth,4/26/2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Delhi Daredevils,Royal Challengers Bangalore,0,6,TM Dilshan,St George's Park,S Asnani,BG Jerling,
71,2009,Cape Town,4/26/2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Kings XI Punjab,Rajasthan Royals,27,0,KC Sangakkara,Newlands,M Erasmus,K Hariharan,
72,2009,Durban,4/27/2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Chennai Super Kings,0,6,HH Gibbs,Kingsmead,IL Howell,TH Wijewardene,
73,2009,Port Elizabeth,4/27/2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,92,0,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin,
74,2009,Centurion,4/28/2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,Delhi Daredevils,0,5,YK Pathan,SuperSport Park,GAV Baxter,RE Koertzen,
75,2009,Durban,4/29/2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,Kolkata Knight Riders,0,5,MV Boucher,Kingsmead,MR Benson,TH Wijewardene,
76,2009,Durban,4/29/2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Kings XI Punjab,Mumbai Indians,3,0,KC Sangakkara,Kingsmead,MR Benson,SL Shastri,
77,2009,Centurion,4/30/2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,Deccan Chargers,0,6,DP Nannes,SuperSport Park,GAV Baxter,AM Saheba,
78,2009,Centurion,4/30/2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,Rajasthan Royals,38,0,SK Raina,SuperSport Park,GAV Baxter,RE Koertzen,
79,2009,East London,05-01-2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,9,0,JP Duminy,Buffalo Park,M Erasmus,SK Tarapore,
80,2009,Durban,05-01-2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Kings XI Punjab,8,0,Yuvraj Singh,Kingsmead,HDPK Dharmasena,S Ravi,
81,2009,Port Elizabeth,05-02-2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,Deccan Chargers,0,3,YK Pathan,St George's Park,S Asnani,BG Jerling,
82,2009,Johannesburg,05-02-2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,Delhi Daredevils,18,0,SB Jakati,New Wanderers Stadium,DJ Harper,RE Koertzen,
83,2009,Port Elizabeth,05-03-2009,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,Kolkata Knight Riders,0,6,DPMD Jayawardene,St George's Park,S Asnani,MR Benson,
84,2009,Johannesburg,05-03-2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,Mumbai Indians,0,9,JH Kallis,New Wanderers Stadium,RE Koertzen,TH Wijewardene,
85,2009,East London,05-04-2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Deccan Chargers,78,0,MS Dhoni,Buffalo Park,BR Doctrove,M Erasmus,
86,2009,Durban,05-05-2009,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,Kings XI Punjab,78,0,GC Smith,Kingsmead,SS Hazare,IL Howell,
87,2009,Durban,05-05-2009,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,Kolkata Knight Riders,0,9,G Gambhir,Kingsmead,GAV Baxter,IL Howell,
88,2009,Centurion,05-06-2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,Mumbai Indians,19,0,RG Sharma,SuperSport Park,MR Benson,HDPK Dharmasena,
89,2009,Centurion,05-07-2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Royal Challengers Bangalore,0,7,A Singh,SuperSport Park,K Hariharan,DJ Harper,
90,2009,Centurion,05-07-2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,1,Chennai Super Kings,Kings XI Punjab,12,0,ML Hayden,SuperSport Park,DJ Harper,TH Wijewardene,
91,2009,East London,05-08-2009,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,Mumbai Indians,0,7,A Nehra,Buffalo Park,M Erasmus,SK Tarapore,
92,2009,Kimberley,05-09-2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Deccan Chargers,0,3,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter,AM Saheba,
93,2009,Kimberley,05-09-2009,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,Rajasthan Royals,0,7,S Badrinath,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,
94,2009,Port Elizabeth,05-10-2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,Royal Challengers Bangalore,16,0,JP Duminy,St George's Park,BR Doctrove,BG Jerling,
95,2009,Johannesburg,05-10-2009,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,Kolkata Knight Riders,0,7,A Mishra,New Wanderers Stadium,SL Shastri,RB Tiffin,
96,2009,Kimberley,05-11-2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Deccan Chargers,Rajasthan Royals,53,0,DR Smith,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,
97,2009,Centurion,05-12-2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,Kolkata Knight Riders,0,6,LRPL Taylor,SuperSport Park,M Erasmus,SS Hazare,
98,2009,Centurion,05-12-2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Mumbai Indians,Kings XI Punjab,0,8,Harbhajan Singh,SuperSport Park,SS Hazare,RE Koertzen,
99,2009,Durban,5/13/2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Daredevils,Deccan Chargers,12,0,R Bhatia,Kingsmead,DJ Harper,SL Shastri,
100,2009,Durban,5/14/2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,Chennai Super Kings,0,2,LRPL Taylor,Kingsmead,BR Doctrove,DJ Harper,
101,2009,Durban,5/14/2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,Mumbai Indians,2,0,SK Warne,Kingsmead,BR Doctrove,DJ Harper,
102,2009,Bloemfontein,5/15/2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Delhi Daredevils,0,6,B Lee,OUTsurance Oval,HDPK Dharmasena,IL Howell,
103,2009,Port Elizabeth,5/16/2009,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,Mumbai Indians,0,7,ML Hayden,St George's Park,SK Tarapore,SJA Taufel,
104,2009,Johannesburg,5/16/2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Kolkata Knight Riders,0,6,RG Sharma,New Wanderers Stadium,RE Koertzen,S Ravi,
105,2009,Johannesburg,5/17/2009,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings XI Punjab,Deccan Chargers,1,0,Yuvraj Singh,New Wanderers Stadium,S Ravi,RB Tiffin,
106,2009,Bloemfontein,5/17/2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Delhi Daredevils,Rajasthan Royals,14,0,AB de Villiers,OUTsurance Oval,SS Hazare,IL Howell,
107,2009,Centurion,5/18/2009,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,Chennai Super Kings,0,7,BJ Hodge,SuperSport Park,SJA Taufel,RB Tiffin,
108,2009,Johannesburg,5/19/2009,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Royal Challengers Bangalore,Delhi Daredevils,0,7,JH Kallis,New Wanderers Stadium,IL Howell,RB Tiffin,
109,2009,Durban,5/20/2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Rajasthan Royals,0,4,LR Shukla,Kingsmead,BG Jerling,SJA Taufel,
110,2009,Durban,5/20/2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Kings XI Punjab,24,0,M Muralitharan,Kingsmead,BG Jerling,SJA Taufel,
111,2009,Centurion,5/21/2009,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,Mumbai Indians,0,4,V Sehwag,SuperSport Park,IL Howell,S Ravi,
112,2009,Centurion,5/21/2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Deccan Chargers,12,0,MK Pandey,SuperSport Park,IL Howell,S Ravi,
113,2009,Centurion,5/22/2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Delhi Daredevils,0,6,AC Gilchrist,SuperSport Park,BR Doctrove,DJ Harper,
114,2009,Johannesburg,5/23/2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,Chennai Super Kings,0,6,MK Pandey,New Wanderers Stadium,RE Koertzen,SJA Taufel,
115,2009,Johannesburg,5/24/2009,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,Royal Challengers Bangalore,6,0,A Kumble,New Wanderers Stadium,RE Koertzen,SJA Taufel,
116,2010,Mumbai,03-12-2010,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Kolkata Knight Riders,Deccan Chargers,11,0,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen,RB Tiffin,
117,2010,Mumbai,3/13/2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,Rajasthan Royals,4,0,YK Pathan,Brabourne Stadium,RE Koertzen,RB Tiffin,
118,2010,Chandigarh,3/13/2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,Kings XI Punjab,0,5,G Gambhir,Punjab Cricket Association Stadium,BR Doctrove,S Ravi,
119,2010,Kolkata,3/14/2010,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,0,7,MK Tiwary,Eden Gardens,HDPK Dharmasena,AM Saheba,
120,2010,Chennai,3/14/2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Deccan Chargers,Chennai Super Kings,31,0,WPUJC Vaas,MA Chidambaram Stadium,K Hariharan,DJ Harper,
